Parameter Name,Value
General Information,
Sample name:,
Start of measurement:,10*4*2018 2:55:20 PM
Stop of measurement:,10*7*2018 6:14:07 PM
Duration of Measurements:,3 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5.1
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,388
Empty soil sampling ring weight [g]:,208.6
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.15
Scale [g]:,0.05
Sensor Unit Information,
Busnumber:,29
Subaddress:,3
Serial number:,2082
Sensor unit name:,MY-HYPROP---
Firmware Version:,1.4
Scale Information,
Serial number:,184226046
Scale name:,HYPROP Balance
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,10*4*2018 2:55:20 PM
Stop,10*7*2018 6:04:04 PM
,
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.570302943990688
Dry soil weight [g]:,101.5
Additional Soil Paramters,
Density [g/cm3]:,1.03
Porosity [-]:,0.61
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,traditional constrained van Genuchten-Mualem model
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C],Gross weight [g],Net weight [g],Weight change [g]
10*5*2018 9:28:42 AM,34.7,38.04,16.61,748.94,152.34,-5.62
10*5*2018 9:38:45 AM,35.18,38.44,16.63,748.89,152.29,-5.67
10*5*2018 9:48:46 AM,35.56,38.84,16.65,748.85,152.25,-5.71
10*5*2018 9:58:50 AM,35.99,39.24,16.67,748.81,152.21,-5.75
10*5*2018 10:08:53 AM,36.32,39.64,16.69,748.77,152.17,-5.79
10*5*2018 10:18:56 AM,36.8,40.12,16.73,748.73,152.13,-5.83
10*5*2018 10:28:57 AM,37.28,40.6,16.77,748.68,152.08,-5.88
10*5*2018 10:39:01 AM,37.81,41.12,16.8,748.64,152.04,-5.92
10*5*2018 10:49:07 AM,38.31,41.62,16.84,748.6,152,-5.96
10*5*2018 10:59:10 AM,38.87,42.08,16.9,748.55,151.95,-6.01
10*5*2018 11:09:30 AM,39.41,42.76,16.97,748.5,151.9,-6.06
10*5*2018 11:19:31 AM,39.96,43.31,17.04,748.45,151.85,-6.11
10*5*2018 11:29:35 AM,40.52,43.86,17.12,748.39,151.79,-6.17
10*5*2018 11:39:36 AM,41.08,44.41,17.2,748.34,151.74,-6.22
10*5*2018 11:49:36 AM,41.58,44.92,17.28,748.29,151.69,-6.27
10*5*2018 11:59:47 AM,42.04,45.32,17.38,748.24,151.64,-6.32
10*5*2018 12:09:53 PM,42.41,45.71,17.49,748.2,151.6,-6.36
10*5*2018 12:19:58 PM,42.68,46,17.6,748.17,151.57,-6.39
10*5*2018 12:30:05 PM,42.95,46.38,17.71,748.13,151.53,-6.43
10*5*2018 12:40:13 PM,43.49,46.92,17.81,748.08,151.48,-6.48
10*5*2018 12:50:25 PM,43.94,47.34,17.9,748.04,151.44,-6.52
10*5*2018 1:00:29 PM,44.45,47.82,17.99,748,151.4,-6.56
10*5*2018 1:10:34 PM,44.93,48.29,18.07,747.96,151.36,-6.6
10*5*2018 1:20:41 PM,45.34,48.76,18.15,747.92,151.32,-6.64
10*5*2018 1:30:45 PM,45.93,49.38,18.23,747.87,151.27,-6.69
10*5*2018 1:40:47 PM,46.52,49.92,18.3,747.83,151.23,-6.73
10*5*2018 1:50:49 PM,47.02,50.44,18.36,747.77,151.17,-6.79
10*5*2018 2:00:52 PM,47.68,51.08,18.42,747.72,151.12,-6.84
10*5*2018 2:11:00 PM,48.01,51.47,18.48,747.69,151.09,-6.87
10*5*2018 2:21:04 PM,48.54,51.95,18.55,747.65,151.05,-6.91
10*5*2018 2:31:16 PM,48.98,52.44,18.64,747.61,151.01,-6.95
10*5*2018 2:41:19 PM,49.58,53.04,18.73,747.57,150.97,-6.99
10*5*2018 2:51:36 PM,50.13,53.63,18.85,747.52,150.92,-7.04
10*5*2018 3:01:45 PM,50.72,54.05,18.96,747.47,150.87,-7.09
10*5*2018 3:11:47 PM,51.22,54.75,19.06,747.42,150.82,-7.14
10*5*2018 3:29:57 PM,51.1,55.11,19.24,747.34,150.74,-7.22
10*5*2018 3:40:00 PM,52.6,56.1,19.33,747.29,150.69,-7.27
10*5*2018 3:50:04 PM,53.33,56.82,19.4,747.24,150.64,-7.32
10*5*2018 4:00:06 PM,53.93,57.45,19.43,747.19,150.59,-7.37
10*5*2018 4:10:08 PM,54.65,58.22,19.43,747.15,150.55,-7.41
10*5*2018 4:20:11 PM,55.32,58.91,19.42,747.1,150.5,-7.46
10*5*2018 4:30:14 PM,56.07,59.78,19.4,747.06,150.46,-7.5
10*5*2018 4:40:17 PM,56.89,60.51,19.38,747.01,150.41,-7.55
10*5*2018 4:50:17 PM,57.56,61.21,19.36,746.97,150.37,-7.59
10*5*2018 5:00:21 PM,58.29,61.93,19.34,746.92,150.32,-7.64
10*5*2018 5:10:22 PM,58.99,62.69,19.31,746.88,150.28,-7.68
